0,8124;0,5994;0,6408;0,6168;0,5814;0,693;0,9264;0,5766;0,552;0,636;0,5904;0,5544;0,5274;0,5748;0;0,642;0,6042;0,5472;0,6012;0,5856;0,5436;0,5298;0,5604;0,5928;0,5706;0,5826;0,6078;0,5796;0,5604;0,57;0,6012;0,5568;0,5832;0,5688;0,5826;0,576;0,5856;0,5748;0,5814;0,5466;0,5742;0,537;0,5718;0,5412;0,5604;0,5376;0,5346;0,5364;0,5028;0,5142;0,516;0,558;0,5118;0,5322;0,5694;0,5982;0,5586;0,5238;0,558;0,5442;0,5964;0,558;0,5814;0,5748;0,5538;0,54;0,5568;0,579;0,5412;0,5412;0,5172;0,579;0,57;0,549;0,57;0,5658;0,5454;0,51;0,5544;0,5514;0,5268;0,5526;0,522;0,5448;0,5406;0,4992;0,5148;0,5256;0,5406;0,5082;0,579;0,5352;0,5178;0,5256;0,558;0,5352;0,5232;0,513;0,525;0,5262;0,555;0,5538;0,579;0,5466;0,5424;0,555;0,528;0,552;0,5274;0,54;0,5616;0,528;0,5388;0,558;0,642;0,5814;0,5622;0,5466;0,567;0,5946;0,5394;0,5364;0,5514;0,546;0,582;0,5574;0,5226;0,5388;0,5676;0,5484;0,5538;0,5682;0,5514;0,57;0,5382;0,5232;0,5322;0,5394;0,5298;0,531;0,5424;0,5286;0,5244;0,504;0,5688;0,5538;0,5412;0,5418;0,5706;0,5286;0,5604;0,5598;0,5526;0,5424;0,5568;0,5598;0,5178;0,5082;0,5376;0,5466;0,5586;0,5412;0,5436;0,5238;0,552;0,5286;0,537;0,5316;0,5388;0,504;0,5034;0,5448;0,4902;0,5238;0,5238;0,5064;0,5352;0,5394;0,513;0,5292;0,513;0,54;0,5352;0,5382;0,522;0,5478;0,5478;0,5316;0,5334;0,5304;0,5358;0,5292;0,4986;0,5322;0,5112;0,4812;0,5388;0,543;0,5562;0,5238;0,5652;0,567;0,552;0,5424;0,5472;0,51;0,5646;0,5418;0,498;0,5274;0,5544;0,5286;0,5202;0,5838;0,528;0,552;0,5418;0,5652;0,5592;0,561;0,5616;0,6012;0,5814;0,588;0,6534;0,6678;0,6534;0;0;0;0;0;0;0;0;0;0;0
0,7734;0,5478;0,5988;0,567;0,5448;0,6498;0,8976;0,5478;0,5532;0,606;0,5712;0,513;0,4854;0,5298;0;0,6966;0,5094;0,507;0,5394;0,5382;0,5076;0,5244;0,5148;0,5316;0,5328;0,5184;0,528;0,5364;0,5334;0,537;0,5292;0,4926;0,516;0,5322;0,522;0,57;0,5322;0,522;0,5232;0,5382;0,5088;0,5034;0,516;0,5028;0,4986;0,498;0,513;0,4854;0,477;0,5142;0,5112;0,5406;0,5124;0,4962;0,5268;0,5454;0,5088;0,5382;0,5028;0,5184;0,5178;0,5298;0,5436;0,5352;0,5526;0,5004;0,522;0,51;0,5262;0,5454;0,5184;0,519;0,5082;0,5322;0,5268;0,5208;0,5034;0,4998;0,5154;0,5064;0,5208;0,4968;0,516;0,5166;0,5256;0,5226;0,5148;0,513;0,4986;0,5322;0,5214;0,5148;0,5238;0,5154;0,5382;0,5154;0,5052;0,5022;0,4926;0,5364;0,5046;0,4986;0,5364;0,5202;0,5088;0,5118;0,525;0,516;0,5088;0,5238;0,5358;0,5286;0,5106;0,5448;0,5832;0,558;0,5364;0,5328;0,5298;0,5466;0,5286;0,5046;0,54;0,5124;0,5388;0,5244;0,5058;0,5028;0,5316;0,525;0,5226;0,5004;0,5232;0,5172;0,5262;0,5142;0,5184;0,5094;0,5238;0,5016;0,5232;0,4944;0,4698;0,5106;0,5328;0,5244;0,5316;0,5328;0,543;0,531;0,516;0,5232;0,5028;0,5268;0,5328;0,5388;0,507;0,5436;0,5256;0,486;0,486;0,5106;0,5136;0,513;0,4944;0,5166;0,51;0,5232;0,492;0,5004;0,4722;0,492;0,48;0,48;0,519;0,5064;0,4914;0,4938;0,5106;0,5082;0,4842;0,5046;0,528;0,4914;0,5034;0,5244;0,5052;0,489;0,5076;0,5004;0,5118;0,5046;0,5046;0,5436;0,4758;0,4854;0,504;0,531;0,522;0,5052;0,5118;0,5394;0,5082;0,519;0,5112;0,4902;0,5142;0,5028;0,5034;0,516;0,5304;0,5106;0,489;0,5394;0,5226;0,507;0,5178;0,5226;0,5316;0,534;0,5304;0,516;0,5376;0,564;0,5502;0,5682;0,5724;0;0;0;0;0;0;0;0;0;0;0
0,7152;0,555;0,561;0,546;0,54;0,6312;0,9156;0,5094;0,5148;0,594;0,5202;0,5106;0,51;0,5382;0;0,5532;0,5124;0,5232;0,5166;0,5148;0,5178;0,5106;0,507;0,5154;0,5202;0,5148;0,516;0,513;0,5136;0,5202;0,5172;0,5082;0,513;0,5148;0,519;0,5196;0,4998;0,516;0,4986;0,5094;0,51;0,5046;0,5178;0,4968;0,489;0,492;0,483;0,4884;0,4938;0,4998;0,4908;0,5268;0,507;0,4794;0,4986;0,5328;0,498;0,4992;0,5028;0,5052;0,5118;0,5178;0,5292;0,516;0,513;0,4902;0,51;0,5268;0,5142;0,4974;0,5076;0,525;0,5202;0,501;0,4986;0,5178;0,4998;0,4884;0,5058;0,5028;0,5184;0,5016;0,4926;0,4896;0,4746;0,4932;0,5076;0,483;0,4722;0,5082;0,4956;0,5262;0,5142;0,5052;0,5142;0,5016;0,4926;0,498;0,4878;0,4992;0,4932;0,501;0,5292;0,4914;0,4998;0,5058;0,4818;0,4992;0,498;0,5214;0,5094;0,5028;0,5112;0,5292;0,5892;0,5466;0,5142;0,5232;0,4956;0,48;0,51;0,4896;0,4584;0,468;0,492;0,4896;0,4842;0,5028;0,4956;0,5178;0,5088;0,498;0,5232;0,5178;0,5088;0,513;0,5424;0,5034;0,522;0,498;0,51;0,4926;0,4896;0,4956;0,501;0,4962;0,495;0,504;0,5214;0,513;0,5028;0,4974;0,4872;0,5016;0,5058;0,5124;0,486;0,4824;0,4872;0,5082;0,498;0,5028;0,4698;0,4848;0,4662;0,5064;0,5238;0,489;0,4854;0,4944;0,4896;0,495;0,4692;0,4602;0,498;0,4998;0,474;0,4746;0,4764;0,4602;0,4926;0,4788;0,4968;0,4794;0,4854;0,5172;0,5094;0,4932;0,5052;0,486;0,4878;0,5088;0,5064;0,5106;0,4704;0,4716;0,4824;0,507;0,4854;0,516;0,513;0,5178;0,4956;0,4944;0,4992;0,4764;0,4908;0,5004;0,48;0,4962;0,501;0,489;0,4878;0,5136;0,51;0,4992;0,525;0,5298;0,5376;0,5256;0,5202;0,528;0,5166;0,5238;0,5316;0,5532;0,5766;0;0;0;0;0;0;0;0;0;0;0
0,7134;0,561;0,624;0,5958;0,5508;0,6594;0,93;0,5406;0,5712;0,6132;0,5454;0,5616;0,5514;0,5802;0;0,6102;0,5454;0,5622;0,5526;0,5508;0,555;0,5532;0,5598;0,588;0,552;0,5436;0,5532;0,5454;0,543;0,5178;0,5466;0,5124;0,5292;0,5502;0,5496;0,5574;0,5124;0,5376;0,5382;0,5388;0,54;0,5448;0,5262;0,5232;0,5262;0,5172;0,5196;0,5232;0,5364;0,5274;0,5388;0,5382;0,5292;0,513;0,5526;0,5676;0,5358;0,4986;0,5214;0,5484;0,5448;0,5202;0,5286;0,5382;0,5388;0,5418;0,5202;0,5298;0,5112;0,5412;0,5274;0,5256;0,5214;0,5412;0,5256;0,5364;0,5274;0,5346;0,5454;0,522;0,5454;0,534;0,5556;0,5454;0,5406;0,5466;0,537;0,5502;0,5442;0,5604;0,543;0,567;0,546;0,5586;0,546;0,5538;0,5268;0,5268;0,5172;0,546;0,5214;0,5166;0,5304;0,5274;0,5214;0,5142;0,5118;0,5226;0,5286;0,5028;0,522;0,5196;0,5556;0,546;0,6234;0,5856;0,5286;0,5136;0,5322;0,5232;0,5232;0,507;0,4962;0,4962;0,5106;0,513;0,528;0,5226;0,54;0,5574;0,5454;0,5292;0,5496;0,564;0,5328;0,5328;0,5352;0,5316;0,534;0,534;0,558;0,5364;0,57;0,5358;0,519;0,5214;0,5628;0,552;0,552;0,5556;0,5376;0,5412;0,5046;0,534;0,5262;0,5142;0,5058;0,5214;0,5052;0,522;0,5268;0,5184;0,5046;0,5268;0,5244;0,5382;0,5202;0,5238;0,5064;0,5262;0,5394;0,5316;0,5064;0,501;0,5298;0,5292;0,5238;0,5292;0,5208;0,504;0,5154;0,4938;0,5316;0,504;0,5436;0,5508;0,5346;0,5106;0,5166;0,5076;0,5148;0,5394;0,5286;0,5382;0,513;0,5358;0,5202;0,5268;0,5544;0,5556;0,5238;0,5298;0,5226;0,5418;0,5226;0,4902;0,4914;0,4998;0,5076;0,513;0,5034;0,4992;0,501;0,5184;0,5202;0,5322;0,5346;0,528;0,5298;0,5322;0,5202;0,5286;0,5184;0,5088;0,5406;0,5544;0,591;0;0;0;0;0;0;0;0;0;0;0
0,7272;0,609;0,6192;0,6186;0,5736;0,705;0,963;0,561;0,5922;0,6342;0,5532;0,576;0,6042;0,6288;0;0,5976;0,5646;0,5562;0,5556;0,5472;0,5694;0,5556;0,5844;0,549;0,5706;0,5586;0,5712;0,5634;0,5928;0,5628;0,5406;0,5574;0,5592;0,5424;0,5496;0,5328;0,5406;0,5412;0,54;0,5502;0,5502;0,5448;0,558;0,5616;0,543;0,5418;0,5322;0,5514;0,5496;0,5484;0,5388;0,5526;0,552;0,5466;0,5382;0,561;0,5448;0,549;0,5424;0,5526;0,5628;0,5544;0,5646;0,5634;0,5448;0,5604;0,5592;0,5418;0,5568;0,5592;0,5664;0,564;0,5466;0,57;0,561;0,552;0,5424;0,5436;0,5616;0,5424;0,5406;0,543;0,5496;0,5442;0,5454;0,5436;0,5394;0,5436;0,555;0,5484;0,5634;0,5556;0,5508;0,5784;0,564;0,5634;0,579;0,5586;0,5532;0,558;0,5844;0,5298;0,5394;0,5466;0,5382;0,543;0,5466;0,5376;0,5418;0,5472;0,5496;0,5544;0,5532;0,546;0,615;0,5814;0,5484;0,5478;0,5556;0,5112;0,5436;0,5412;0,5508;0,558;0,5664;0,5568;0,6126;0,567;0,5358;0,5472;0,5436;0,5538;0,5616;0,5766;0,5616;0,5688;0,543;0,5718;0,54;0,5496;0,5496;0,552;0,5664;0,5448;0,5526;0,5496;0,5478;0,5268;0,558;0,5262;0,525;0,5586;0,5406;0,549;0,5472;0,537;0,5178;0,5442;0,5514;0,5316;0,5472;0,5172;0,5448;0,537;0,531;0,5544;0,5382;0,543;0,54;0,5322;0,5346;0,5508;0,5424;0,5472;0,5394;0,5262;0,5436;0,5232;0,54;0,552;0,5382;0,5406;0,546;0,5556;0,5556;0,5382;0,5532;0,5712;0,5532;0,5262;0,5364;0,552;0,5466;0,5718;0,5472;0,57;0,5742;0,5616;0,5874;0,5442;0,5532;0,5586;0,546;0,5502;0,5322;0,4902;0,5286;0,525;0,5208;0,5382;0,5388;0,5274;0,5694;0,5616;0,5586;0,5814;0,5748;0,5466;0,5544;0,5514;0,5682;0,576;0,5736;0,561;0,5922;0,6318;0,591;0;0;0;0;0;0;0;0;0;0;0
0,6942;0,5946;0,585;0,558;0,5556;0,6726;0,9342;0,5118;0,561;0,5598;0,5082;0,5556;0,5634;0,564;0;0,5574;0,534;0,5388;0,5346;0,5184;0,543;0,5472;0,5436;0,5256;0,555;0,5304;0,5406;0,5376;0,5244;0,5394;0,5412;0,543;0,5394;0,528;0,5202;0,5226;0,5178;0,534;0,5244;0,549;0,546;0,54;0,531;0,5382;0,5172;0,504;0,5208;0,5184;0,5028;0,525;0,5148;0,5166;0,5388;0,5508;0,5148;0,5118;0,5532;0,5496;0,501;0,501;0,4968;0,5268;0,5286;0,5316;0,5148;0,5118;0,522;0,513;0,5178;0,525;0,5322;0,5364;0,5436;0,5424;0,537;0,5178;0,5214;0,519;0,525;0,513;0,5172;0,5502;0,5202;0,5214;0,5214;0,5352;0,537;0,528;0,5418;0,5376;0,5388;0,5196;0,567;0,5514;0,5352;0,5544;0,5382;0,5178;0,5466;0,5556;0,549;0,5298;0,5436;0,5508;0,5274;0,5184;0,5094;0,4986;0,5082;0,5454;0,552;0,5466;0,5256;0,5262;0,6186;0,5748;0,5334;0,5364;0,5184;0,507;0,5244;0,5238;0,5316;0,5784;0,5478;0,5544;0,576;0,5544;0,5442;0,558;0,5562;0,549;0,5562;0,558;0,552;0,5784;0,5538;0,5208;0,5244;0,5316;0,5394;0,546;0,549;0,5478;0,5424;0,5472;0,5496;0,5382;0,5556;0,525;0,5184;0,5382;0,5484;0,5334;0,5298;0,528;0,4824;0,5118;0,5178;0,507;0,5028;0,5088;0,5322;0,5592;0,5454;0,5148;0,5094;0,525;0,5406;0,525;0,5286;0,5376;0,543;0,5442;0,5154;0,5346;0,5304;0,5166;0,5358;0,5268;0,5256;0,5202;0,5514;0,5448;0,5472;0,5394;0,552;0,5922;0,5466;0,5376;0,5292;0,5346;0,5772;0,5706;0,5574;0,5712;0,5628;0,5616;0,585;0,5784;0,5472;0,5424;0,5616;0,5646;0,5718;0,5202;0,5496;0,5298;0,5226;0,5226;0,5382;0,5664;0,5808;0,576;0,597;0,612;0,5892;0,5772;0,5664;0,5598;0,5778;0,5946;0,6186;0,6246;0,6048;0,6546;0,6678;0;0;0;0;0;0;0;0;0;0;0
0,6054;0,495;0,4872;0,4854;0,4956;0,5646;0,8784;0,483;0,5184;0,5106;0,4788;0,5094;0,5262;0,5034;0;0,4836;0,486;0,486;0,468;0,4776;0,4794;0,4902;0,4788;0,486;0,4806;0,4872;0,4776;0,471;0,4782;0,4854;0,4734;0,4782;0,4842;0,4644;0,4782;0,4728;0,4752;0,471;0,4656;0,4794;0,486;0,4746;0,477;0,4632;0,462;0,483;0,4734;0,4698;0,4746;0,4812;0,4632;0,477;0,48;0,4872;0,4734;0,4806;0,4854;0,483;0,4764;0,4788;0,477;0,48;0,4872;0,4764;0,4926;0,4794;0,4722;0,4656;0,4764;0,4872;0,477;0,4866;0,4806;0,486;0,4704;0,4854;0,4878;0,492;0,474;0,4818;0,486;0,4998;0,4836;0,4848;0,48;0,471;0,4878;0,4776;0,4734;0,483;0,486;0,4968;0,519;0,4968;0,4854;0,5016;0,4854;0,4968;0,4968;0,4872;0,4962;0,48;0,4938;0,4818;0,4872;0,4836;0,4854;0,4812;0,4854;0,5058;0,51;0,492;0,4926;0,507;0,5304;0,5136;0,4824;0,501;0,4818;0,4848;0,4794;0,5064;0,5148;0,528;0,5004;0,489;0,5418;0,5238;0,516;0,4962;0,4836;0,501;0,4992;0,4866;0,5034;0,5022;0,5184;0,4758;0,516;0,5016;0,5016;0,5172;0,5142;0,5094;0,4926;0,501;0,5082;0,5124;0,5064;0,4944;0,495;0,5034;0,5034;0,5088;0,4878;0,5118;0,4968;0,4902;0,5004;0,5028;0,4956;0,5106;0,5028;0,5124;0,501;0,4962;0,513;0,4944;0,5058;0,5136;0,5112;0,5028;0,5112;0,5232;0,5112;0,5124;0,5028;0,501;0,5112;0,5094;0,513;0,5058;0,5052;0,5124;0,5046;0,4938;0,5118;0,5424;0,516;0,5226;0,5034;0,5148;0,5322;0,522;0,5298;0,5502;0,5298;0,5094;0,5508;0,5544;0,5238;0,501;0,528;0,5274;0,5304;0,5118;0,5136;0,5292;0,5226;0,519;0,519;0,5382;0,5538;0,5472;0,5652;0,5778;0,5724;0,5412;0,543;0,5514;0,5496;0,5532;0,5592;0,5622;0,5586;0,5844;0,591;0;0;0;0;0;0;0;0;0;0;0
0,5472;0,4584;0,4398;0,4422;0,4476;0,525;0,8034;0,4536;0,477;0,4518;0,4416;0,4812;0,4866;0,4812;0;0,456;0,4434;0,4524;0,4332;0,429;0,45;0,4548;0,4476;0,4428;0,435;0,4452;0,4476;0,447;0,4356;0,4236;0,438;0,4524;0,4416;0,435;0,4464;0,444;0,4536;0,4512;0,4416;0,447;0,4392;0,45;0,4512;0,4422;0,4314;0,4506;0,4404;0,4458;0,4374;0,456;0,4458;0,4344;0,4518;0,4698;0,441;0,4302;0,4452;0,4542;0,4512;0,4476;0,4482;0,4572;0,4482;0,4476;0,4644;0,4596;0,4458;0,4542;0,447;0,4596;0,4524;0,444;0,4446;0,456;0,4554;0,4464;0,4596;0,4572;0,4488;0,4434;0,4536;0,4608;0,4518;0,4494;0,4482;0,4458;0,4506;0,4482;0,4518;0,45;0,4566;0,4602;0,4704;0,4602;0,4536;0,4674;0,459;0,4482;0,4554;0,4494;0,4632;0,456;0,4482;0,4518;0,4656;0,4476;0,4488;0,4518;0,4554;0,4548;0,4614;0,4698;0,4608;0,453;0,4932;0,4692;0,4524;0,4518;0,4644;0,447;0,4554;0,4602;0,4764;0,4752;0,4518;0,4674;0,4806;0,4884;0,4578;0,4638;0,4554;0,468;0,4638;0,4476;0,4536;0,4746;0,4614;0,4536;0,468;0,4632;0,4698;0,4662;0,4734;0,4668;0,4578;0,4614;0,4698;0,468;0,4692;0,4632;0,4518;0,4674;0,477;0,4698;0,4566;0,4716;0,4632;0,4764;0,4728;0,4716;0,471;0,474;0,465;0,4866;0,4698;0,471;0,4704;0,474;0,4644;0,4692;0,4806;0,4644;0,4806;0,4926;0,4776;0,4746;0,4686;0,471;0,4794;0,4788;0,4728;0,4674;0,4734;0,4638;0,4752;0,4668;0,4716;0,501;0,4896;0,4794;0,4776;0,4842;0,4926;0,4776;0,4926;0,513;0,4914;0,4758;0,5052;0,5052;0,4836;0,4614;0,4776;0,4926;0,504;0,498;0,4872;0,4896;0,5004;0,4938;0,4842;0,5034;0,519;0,5142;0,5448;0,5466;0,5538;0,519;0,5208;0,5184;0,5232;0,5166;0,537;0,537;0,5226;0,5454;0,558;0;0;0;0;0;0;0;0;0;0;0
0,4878;0,4242;0,4194;0,42;0,4308;0,4722;0,7128;0,438;0,4626;0,4182;0,42;0,4578;0,4656;0,453;0;0,429;0,4266;0,4308;0,4074;0,405;0,4302;0,4344;0,4296;0,4224;0,4236;0,4194;0,4272;0,4224;0,429;0,4182;0,4134;0,4356;0,4194;0,4194;0,4194;0,4242;0,4278;0,4242;0,4122;0,4296;0,4212;0,4272;0,4386;0,4194;0,4176;0,4248;0,4212;0,4218;0,426;0,432;0,435;0,4098;0,4248;0,453;0,4248;0,4188;0,4284;0,4374;0,4314;0,4308;0,4236;0,432;0,4278;0,4236;0,4428;0,4296;0,4278;0,4284;0,4296;0,4386;0,4338;0,4176;0,4296;0,432;0,4278;0,4284;0,4308;0,4374;0,4188;0,4242;0,4338;0,4386;0,432;0,4278;0,4254;0,4338;0,426;0,4344;0,4344;0,435;0,4302;0,4338;0,4428;0,4428;0,4302;0,4344;0,4332;0,4332;0,4338;0,4308;0,438;0,423;0,4278;0,4368;0,4422;0,4242;0,4236;0,4338;0,4386;0,438;0,4308;0,4362;0,426;0,4248;0,4518;0,441;0,4308;0,4284;0,4452;0,4368;0,432;0,4398;0,4548;0,4728;0,4314;0,4428;0,468;0,4512;0,4368;0,4314;0,4302;0,4428;0,4362;0,4218;0,429;0,453;0,4326;0,4314;0,4482;0,4422;0,4356;0,45;0,4512;0,4386;0,4326;0,4422;0,4404;0,4386;0,4446;0,4422;0,438;0,4404;0,4536;0,4392;0,4368;0,4398;0,4344;0,4524;0,4536;0,459;0,453;0,4434;0,4452;0,4578;0,4524;0,4392;0,4464;0,4374;0,4434;0,4488;0,4542;0,4422;0,4596;0,4644;0,4458;0,4458;0,4572;0,4506;0,4542;0,4602;0,4434;0,4416;0,4464;0,4584;0,4548;0,4422;0,4434;0,4782;0,462;0,4524;0,444;0,465;0,4596;0,4464;0,4764;0,4962;0,4668;0,444;0,4896;0,4974;0,4704;0,4494;0,4578;0,4752;0,4854;0,477;0,4572;0,462;0,483;0,4752;0,471;0,486;0,528;0,489;0,5154;0,5286;0,5142;0,5028;0,4902;0,4974;0,5028;0,495;0,5178;0,525;0,5028;0,5154;0,5436;0;0;0;0;0;0;0;0;0;0;0
0,4998;0,4662;0,4542;0,4566;0,4554;0,5094;0,7728;0,4854;0,5064;0,4554;0,4452;0,5016;0,4944;0,4764;0;0,45;0,4662;0,4722;0,4392;0,4428;0,4578;0,4854;0,453;0,462;0,4614;0,45;0,4476;0,4368;0,4476;0,459;0,4548;0,4692;0,4452;0,4368;0,465;0,4476;0,4644;0,462;0,4428;0,468;0,4578;0,4674;0,4578;0,4302;0,4344;0,4512;0,4614;0,4476;0,4404;0,4548;0,453;0,4296;0,4398;0,4704;0,4596;0,4452;0,4506;0,4548;0,4536;0,4608;0,447;0,468;0,4542;0,447;0,4596;0,4524;0,4518;0,4512;0,4428;0,4584;0,4494;0,459;0,4482;0,4578;0,4446;0,4638;0,4578;0,4482;0,4404;0,4422;0,459;0,4692;0,441;0,447;0,4524;0,4452;0,456;0,4464;0,4446;0,4422;0,4476;0,4602;0,4626;0,4494;0,4608;0,4686;0,4536;0,4716;0,4596;0,4584;0,459;0,4422;0,4272;0,4614;0,471;0,4512;0,4656;0,4632;0,4482;0,4494;0,4482;0,45;0,441;0,4476;0,4692;0,4512;0,4554;0,4284;0,465;0,4572;0,4482;0,48;0,4926;0,5106;0,4428;0,471;0,5472;0,4836;0,4854;0,459;0,4338;0,459;0,4524;0,4482;0,4482;0,4788;0,4692;0,4356;0,4908;0,4662;0,4662;0,4878;0,4644;0,444;0,453;0,4644;0,4584;0,4638;0,4542;0,4578;0,471;0,474;0,4758;0,4608;0,4422;0,4542;0,468;0,4686;0,4668;0,4776;0,4632;0,4668;0,459;0,4752;0,4722;0,4662;0,4704;0,4704;0,4656;0,48;0,4842;0,4542;0,4782;0,4878;0,4668;0,4656;0,4566;0,4596;0,477;0,4728;0,4764;0,4806;0,4764;0,4782;0,4692;0,4578;0,4674;0,4956;0,4644;0,4578;0,477;0,4782;0,4812;0,4764;0,519;0,5196;0,4926;0,4536;0,5184;0,5274;0,4986;0,4608;0,4758;0,489;0,5034;0,4968;0,4722;0,486;0,51;0,5094;0,4926;0,5214;0,5832;0,5142;0,552;0,5688;0,5544;0,5256;0,5328;0,531;0,5232;0,5382;0,5634;0,5718;0,5448;0,603;0,591;0;0;0;0;0;0;0;0;0;0;0
